TF	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
MITF	2.399	0.00821	3.057	0.544	0.12	0.007789
FOSL1	2.886	0.00195	1.843	0.58	0.12	0.007859
ZNF467	1.553	0.06016	2.291	0.583	0.12	0.007859
OSR2	1.739	0.04103	2.568	0.563	0.121	0.008
PRDM14	1.494	0.06755	2.55	0.575	0.122	0.008144
SUZ12	3.913	4.557e-5	0.992	0.765	0.122	0.008216
CBX2	1.626	0.05198	1.937	0.599	0.123	0.008362
ZNF282	2.408	0.008024	1.229	0.676	0.124	0.008509
BCL11A	1.162	0.1226	2.032	0.655	0.125	0.008734
GTF2I	3.306	4.727e-4	1.835	0.573	0.128	0.009352
TFAP2C	1.815	0.03475	1.675	0.61	0.128	0.009352
SRF	2.415	0.007861	1.543	0.596	0.129	0.009672
ZBTB6	2.142	0.01611	2.344	0.556	0.13	0.009999
PPARG	3.622	1.46e-4	1.566	0.583	0.132	0.01033
TCF4	1.382	0.08355	1.702	0.667	0.132	0.01033
CHD8	1.154	0.1242	2.027	0.623	0.133	0.01059
ZFP57	1.855	0.03178	2.104	0.569	0.134	0.01094
PGBD3	1.58	0.05701	1.97	0.588	0.135	0.01102
PITX3	1.318	0.09372	2.99	0.558	0.137	0.01156
ZNF654	2.074	0.01905	1.928	0.573	0.139	0.01221
RXRA	2.35	0.009393	1.475	0.591	0.14	0.0124
FEZF1	1.79	0.03674	2.458	0.552	0.141	0.01259
KDM4A	2.255	0.01206	1.651	0.581	0.143	0.01308
CHD7	1.338	0.09038	1.572	0.653	0.146	0.01399
PRDM10	1.661	0.04839	2.617	0.547	0.146	0.01399
E2F7	2.069	0.01929	1.3	0.604	0.147	0.0142
CHRM2	1.483	0.06902	1.762	0.594	0.147	0.01441
ZNF341	2.239	0.01257	1.61	0.579	0.148	0.01473
SS18	1.367	0.08589	2.501	0.558	0.148	0.01473
CEBPB	5.042	2.298e-7	1.392	0.573	0.149	0.01483
SP140	1.81	0.03517	1.823	0.574	0.151	0.01538
ZNF468	1.625	0.05212	1.562	0.599	0.151	0.01538
FOXA2	2.628	0.004297	1.73	0.564	0.152	0.01571
PROX1	1.848	0.0323	1.745	0.577	0.152	0.01571
MYF5	1.302	0.09651	2.583	0.557	0.152	0.01571
KDM3B	1.786	0.03707	1.688	0.582	0.152	0.01582
RYBP	2.316	0.01027	1.067	0.608	0.152	0.01593
PHOX2B	1.274	0.1014	2.626	0.554	0.154	0.0165
ZNF100	1.869	0.03083	1.353	0.592	0.155	0.01685
CNOT3	1.952	0.02545	1.438	0.584	0.157	0.01744
ZBTB17	1.523	0.06382	2.39	0.552	0.157	0.01744
GRHL3	1.771	0.03826	1.766	0.573	0.159	0.01805
EGR3	1.405	0.08005	2.097	0.566	0.159	0.01817
IKZF2	1.727	0.04208	2.129	0.553	0.16	0.0183
KDM2B	4.407	5.245e-6	0.39	0.719	0.161	0.0188
TRIM28	1.344	0.08942	2.236	0.56	0.161	0.01892
ZNF600	1.658	0.04864	2.324	0.547	0.161	0.01892
KDM6B	1.811	0.0351	1.884	0.56	0.162	0.01918
TERC	2.159	0.01544	2.127	0.543	0.163	0.01956
ZNF366	1.405	0.08002	2.508	0.549	0.163	0.01956
SOX4	1.998	0.02284	2.093	0.547	0.165	0.02008
PRDM1	2.101	0.0178	2.197	0.54	0.165	0.02008
PDX1	1.523	0.06388	2.443	0.545	0.166	0.02048
TRAF7	2.684	0.003642	1.163	0.58	0.168	0.02115
ZNF263	2.003	0.0226	1.282	0.583	0.169	0.02156
SUMO1	4.025	2.854e-5	1.682	0.549	0.169	0.0217
GTF3C5	1.773	0.0381	1.346	0.584	0.169	0.0217
ZNF169	1.23	0.1094	2.517	0.551	0.17	0.02212
ZNF335	1.912	0.02791	1.683	0.562	0.173	0.02312
HIRA	1.498	0.0671	1.827	0.565	0.174	0.02355
ZNF519	1.583	0.05672	1.329	0.589	0.174	0.0237
ZNF554	1.114	0.1327	3.025	0.542	0.175	0.024
ZNF257	1.282	0.0999	2.209	0.555	0.175	0.024
HOXC9	1.478	0.06965	2.409	0.542	0.175	0.024
SP7	1.574	0.05778	2.278	0.543	0.175	0.024140000000000002
POLR3D	1.533	0.06264	1.583	0.575	0.179	0.02582
ZBTB48	2.413	0.007908	1.391	0.559	0.18	0.02613
PRKDC	1.43	0.07632	1.823	0.563	0.181	0.0266
ZNF382	1.613	0.05337	2.431	0.531	0.183	0.02757
ZNF273	1.519	0.06432	1.408	0.578	0.187	0.02922
ZNF425	1.101	0.1354	2.614	0.542	0.187	0.02939
ATF3	1.313	0.09456	1.217	0.597	0.187	0.02956
ZNF770	1.133	0.1287	2.482	0.544	0.187	0.02956
ZNF28	1.227	0.1098	2.14	0.551	0.191	0.03112
MAX	2.098	0.01796	0.273	0.672	0.192	0.03183
PAX6	1.239	0.1077	2.969	0.525	0.193	0.03255
MBD3	1.679	0.04662	1.2	0.575	0.194	0.03292
CBFA2T2	1.073	0.1416	2.558	0.539	0.196	0.03384
ZNF2	1.617	0.05289	1.755	0.551	0.197	0.03421
ERCC6	1.199	0.1152	2.052	0.55	0.199	0.03535
TRIM25	1.434	0.07581	1.004	0.59	0.203	0.0375
MAZ	2.449	0.007155	0.613	0.58	0.203	0.0377
ZNF783	1.652	0.04926	0.503	0.613	0.204	0.0381
HES2	4.534	2.898e-6	1.247	0.541	0.205	0.03892
ZNF182	1.048	0.1473	2.406	0.537	0.207	0.04016
ZNF362	1.252	0.1053	2.348	0.53	0.207	0.04016
BRD7	1.29	0.09846	1.675	0.555	0.21	0.04185
ZNF800	1.155	0.1241	2.596	0.524	0.211	0.04228
H2AZ	5.198	1.008e-7	-0.108	0.599	0.212	0.04315
ZNF479	1.032	0.151	2.32	0.536	0.214	0.04381
DPPA2	1.026	0.1524	2.316	0.536	0.215	0.04448
GATA1	2.386	0.008521	1.527	0.532	0.215	0.0447
ZNF35	1.069	0.1425	2.203	0.539	0.215	0.0447
PCGF1	1.744	0.04056	0.258	0.613	0.216	0.04538
PBX3	0.856	0.1959	1.301	0.594	0.217	0.04583
ZNF320	1.328	0.09215	2.275	0.524	0.217	0.04606
PRMT5	1.313	0.09459	1.454	0.558	0.218	0.04652
ZNF92	1.077	0.1407	2.097	0.54	0.218	0.04675
WT1	1.369	0.08555	1.93	0.533	0.22	0.04792
ZNF674	1.297	0.09733	1.438	0.556	0.221	0.04886
ZNF563	0.987	0.1619	2.327	0.534	0.222	0.0491
TAZ	1.18	0.119	1.804	0.547	0.222	0.04934
FOS	1.526	0.06346	1.271	0.554	0.223	0.04982
LMNB1	1.018	0.1543	2.18	0.536	0.225	0.05153
ZNF281	1.317	0.09386	1.314	0.558	0.225	0.05153
CTCFL	2.119	0.01704	1.113	0.546	0.226	0.05202
ZBTB2	1.242	0.1072	1.585	0.551	0.227	0.05277
KLF11	1.82	0.03438	0.93	0.555	0.229	0.05429
KLF4	0.994	0.1601	1.144	0.581	0.231	0.05557
KDM5B	1.953	0.0254	0.84	0.554	0.233	0.05714
STAG1	1.35	0.08852	0.153	0.631	0.235	0.05874
USF1	1.433	0.07597	1.632	0.535	0.235	0.05874
NCAPH2	2.047	0.02034	0.433	0.572	0.236	0.05901
DMC1	0.937	0.1744	2.235	0.531	0.236	0.05901
ZSCAN20	1.214	0.1124	1.977	0.527	0.237	0.05982
ZNF202	0.923	0.178	1.342	0.57	0.237	0.0601
ZNF141	0.987	0.1618	2.047	0.534	0.238	0.06065
ZNF793	1.078	0.1405	2.182	0.522	0.239	0.06147
HCFC1R1	1.056	0.1456	1.859	0.538	0.239	0.06175
EPAS1	1.13	0.1292	1.612	0.543	0.242	0.06344
GLIS2	1.741	0.04088	0.787	0.555	0.243	0.06429
ZBTB14	1.544	0.06126	0.407	0.581	0.243	0.06486
ZNF585A	0.883	0.1886	2.276	0.527	0.244	0.06515
HOTAIR	1.339	0.09031	2.008	0.515	0.244	0.06544
SP4	1.801	0.03583	1.032	0.543	0.244	0.06573
EGR2	1.319	0.09361	0.852	0.564	0.245	0.06631
ZNF429	0.768	0.2213	2.684	0.518	0.246	0.0669
PRDM6	1.126	0.1302	1.579	0.543	0.246	0.0669
SNAI2	2.198	0.01396	1.298	0.522	0.247	0.06808
ZNF506	0.874	0.1911	2.21	0.527	0.248	0.06837
NFIC	0.853	0.197	1.268	0.571	0.248	0.06867
ZBTB8A	1.674	0.04702	0.896	0.549	0.249	0.06987
KLF15	2.092	0.01822	0.212	0.568	0.251	0.07109
BANF1	1.288	0.09879	1.421	0.538	0.253	0.07263
ZNF778	0.905	0.1826	2.193	0.521	0.254	0.07387
ZFP64	0.731	0.2322	1.478	0.563	0.255	0.0745
GFI1B	0.936	0.1745	2.212	0.518	0.255	0.0745
KLF16	1.188	0.1174	1.711	0.529	0.255	0.0745
SCRT2	1.025	0.1527	2.159	0.515	0.256	0.07513
BACH1	0.916	0.1798	1.165	0.563	0.257	0.07609
ZNF394	1.257	0.1044	1.436	0.535	0.257	0.07641
ZNF512	1.182	0.1186	1.693	0.529	0.258	0.07705
ZNF680	0.766	0.2218	1.987	0.536	0.258	0.07705
NFIA	1.069	0.1426	1.978	0.519	0.259	0.07802
SMARCE1	0.871	0.1918	1.95	0.53	0.261	0.07999
ZNF93	0.84	0.2006	2.081	0.524	0.262	0.08132
PATZ1	1.796	0.03622	0.556	0.55	0.263	0.08199
ZNF692	1.347	0.08906	1.265	0.534	0.263	0.08233
MCM2	0.837	0.2014	2.083	0.524	0.263	0.08233
PHIP	2.475	0.006671	-0.148	0.566	0.265	0.08368
FANCD2	0.801	0.2116	2.134	0.521	0.265	0.08368
NME2	1.025	0.1527	1.98	0.517	0.265	0.08368
JUND	0.771	0.2204	0.864	0.582	0.266	0.08436
CDCA2	0.9	0.1839	1.848	0.528	0.267	0.0854
INTS11	2.055	0.01995	0.618	0.54	0.268	0.08644
CBX8	0.791	0.2146	0.624	0.59	0.269	0.08748
CDK2	0.94	0.1736	2.048	0.515	0.269	0.08748
ZNF485	0.781	0.2173	2.148	0.519	0.269	0.08748
MYNN	0.896	0.1851	1.694	0.533	0.273	0.0914
RBL1	0.947	0.1717	1.644	0.531	0.273	0.0914
ZFP2	1.18	0.1191	1.033	0.546	0.273	0.09176
ZNF823	0.757	0.2244	2.162	0.518	0.275	0.09322
ATF4	0.846	0.1988	1.588	0.538	0.275	0.09359
EMX1	1.44	0.07492	0.484	0.554	0.275	0.09395
ZMYND8	1.56	0.05936	0.607	0.546	0.277	0.09581
TRIM24	1.1	0.1358	1.604	0.52	0.28	0.0992
ZBTB26	1.446	0.07411	0.75	0.542	0.281	0.09996
IRF5	0.757	0.2245	2.062	0.518	0.281	0.1003
TEAD2	0.939	0.1739	1.911	0.512	0.283	0.1015
ZNF22	0.753	0.2258	2.062	0.517	0.283	0.1023
ZNF786	1.078	0.1405	1.035	0.54	0.285	0.1046
ZNF134	0.68	0.2484	2.245	0.512	0.286	0.1054
KMT2B	0.931	0.176	1.432	0.53	0.289	0.1082
TAL1	0.745	0.2281	1.176	0.552	0.29	0.1095
BHLHE40	0.852	0.197	0.698	0.564	0.29	0.1099
ZNF549	0.615	0.2692	2.355	0.507	0.29	0.1099
MAFK	0.446	0.3277	1.168	0.565	0.292	0.1123
TCF7L1	0.287	0.3872	0.5	0.633	0.293	0.1132
HEXIM1	1.204	0.1144	0.449	0.553	0.293	0.1132
HIC1	1.108	0.1339	1.248	0.525	0.293	0.1132
FOXP2	1.098	0.1362	1.347	0.521	0.294	0.114
ZKSCAN5	0.957	0.1694	1.241	0.532	0.296	0.1165
ZNF780A	0.621	0.2673	2.211	0.508	0.297	0.1174
ATF7IP	0.543	0.2935	2.532	0.502	0.298	0.1187
TOP1	0.902	0.1835	0.822	0.552	0.298	0.1191
ZNF573	0.628	0.2649	2.116	0.508	0.301	0.123
ZNF671	0.661	0.2542	2.034	0.51	0.302	0.1243
FGFR1	1.192	0.1166	-0.16	0.577	0.303	0.1257
ZNF44	0.788	0.2153	1.607	0.52	0.304	0.1266
ZIM3	0.806	0.2101	1.816	0.508	0.306	0.1288
RUNX2	0.529	0.2985	1.517	0.539	0.306	0.1288
INTS3	0.699	0.2423	1.837	0.513	0.308	0.132
LIN9	0.798	0.2125	1.478	0.521	0.31	0.1339
PTRF	0.725	0.2343	1.911	0.506	0.312	0.1367
NR2F6	0.99	0.1611	1.55	0.506	0.314	0.1396
ZNF740	1.025	0.1526	1.008	0.525	0.315	0.141
HIF1A	0.543	0.2935	1.807	0.518	0.316	0.1415
MAFG	0.783	0.2168	1.828	0.503	0.316	0.1425
TET3	1.075	0.1413	0.287	0.551	0.317	0.1434
ZNF423	1.186	0.1177	0.772	0.526	0.318	0.1444
LHX2	0.223	0.4118	0.977	0.57	0.318	0.1449
E2F6	1.059	0.1449	-0.35	0.58	0.318	0.1454
NR0B1	1.136	0.1281	0.36	0.544	0.319	0.1459
ZNF695	0.87	0.1923	1.138	0.526	0.319	0.1464
TCF7L2	0.433	0.3326	0.87	0.56	0.32	0.1479
ZFP37	1.165	0.122	0.768	0.525	0.321	0.1489
HNF4A	1.233	0.1087	1.028	0.51	0.322	0.1499
ZNF441	1.001	0.1583	0.65	0.535	0.324	0.1529
ZNF766	0.763	0.2227	1.77	0.503	0.325	0.1544
SP1	0.95	0.171	-0.483	0.584	0.325	0.1549
DUX4	0.73	0.2327	1.758	0.504	0.327	0.158
ZNF317	0.487	0.313	1.752	0.515	0.328	0.1586
ZBTB7A	1.279	0.1004	-0.567	0.572	0.329	0.1596
DNMT3A	0.548	0.2919	0.557	0.56	0.329	0.1596
ZNF558	0.787	0.2155	1.557	0.507	0.329	0.1596
ZNF75D	0.565	0.286	1.916	0.503	0.329	0.1601
CHD4	1.364	0.08628	0.396	0.526	0.329	0.1607
EHMT2	0.754	0.2255	1.811	0.499	0.33	0.1612
ZEB2	0.893	0.1861	0.795	0.532	0.33	0.1622
SIRT1	0.314	0.3766	1.326	0.54	0.33	0.1622
MBD1	1.186	0.1178	0.582	0.523	0.332	0.1649
UHRF2	1.025	0.1527	0.438	0.536	0.334	0.1671
ZNF436	0.684	0.2471	1.509	0.512	0.334	0.1671
ZNF17	0.48	0.3157	2.071	0.497	0.334	0.1681
TFAP4	0.963	0.1679	1.249	0.505	0.335	0.1692
PTTG1	0.721	0.2354	1.745	0.501	0.337	0.172
DROSHA	1.032	0.1509	0.112	0.546	0.337	0.1725
ZNF682	0.905	0.1826	1.045	0.514	0.339	0.1753
NFE2L2	0.6	0.2743	0.557	0.551	0.34	0.177
ARID1A	-0.075	0.5299	0.837	0.581	0.34	0.1775
GATA2	-0.433	0.6673	1.033	0.592	0.342	0.1803
TSHZ1	0.754	0.2254	1.45	0.505	0.342	0.1803
ZNF121	0.84	0.2005	1.183	0.51	0.343	0.1809
HDAC2	0.674	0.2501	-0.569	0.6	0.344	0.1826
KLF9	0.804	0.2106	-0.682	0.593	0.344	0.1826
MAFF	0.63	0.2643	1.813	0.495	0.344	0.1832
ZNF664	0.726	0.2339	1.607	0.5	0.345	0.1843
ILK	0.607	0.2719	1.806	0.497	0.345	0.1849
ZNF610	0.796	0.213	-0.405	0.578	0.345	0.1855
SF1	0.419	0.3375	2.023	0.492	0.348	0.1896
FLI1	0.614	0.2697	0.384	0.553	0.349	0.1907
TCF7	0.472	0.3185	1.359	0.516	0.351	0.1943
ARID3A	0.777	0.2185	1.149	0.507	0.354	0.199
CREBBP	0.035	0.4862	0.36	0.585	0.354	0.1997
HSF1	0.895	0.1853	-0.043	0.55	0.355	0.2015
DAXX	0.769	0.2209	1.218	0.504	0.356	0.2021
EZH1	0.479	0.3158	-0.948	0.717	0.356	0.2027
FOXO1	-0.16	0.5634	0.411	0.597	0.356	0.2033
HLF	0.643	0.2601	1.607	0.496	0.356	0.2033
PR	-0.769	0.7792	0.879	0.624	0.358	0.207
ZNF490	0.411	0.3405	1.902	0.492	0.358	0.207
CHAT	0.533	0.2969	1.758	0.492	0.359	0.2082
ZNF605	0.454	0.3249	1.79	0.495	0.359	0.2088
LEF1	0.122	0.4514	-0.341	0.632	0.36	0.2094
SATB1	0.396	0.3459	1.898	0.491	0.361	0.2107
RCOR1	0.135	0.4465	0.516	0.56	0.362	0.2131
KLF17	1.021	0.1536	0.479	0.516	0.362	0.2138
NFE2L1	0.585	0.2791	1.326	0.505	0.362	0.2138
CBX4	0.911	0.1811	0.263	0.529	0.365	0.2188
POLR2M	0.69	0.2451	-0.04	0.553	0.366	0.2207
ZNF343	0.976	0.1645	-0.008	0.533	0.368	0.2245
PRMT1	0.703	0.2411	1.023	0.507	0.369	0.2252
CBX6	0.636	0.2624	0.424	0.535	0.37	0.2271
ZNF440	0.348	0.3641	1.896	0.487	0.37	0.2277
SCRT1	0.564	0.2862	1.399	0.498	0.371	0.229
ZFP69B	0.907	0.1822	0.445	0.517	0.371	0.2297
BCOR	0.226	0.4105	-0.819	0.67	0.372	0.2303
L3MBTL2	0.734	0.2316	1.049	0.502	0.373	0.2323
ZNF501	0.975	0.1647	0.198	0.522	0.373	0.2336
FAIRE	-0.162	0.5643	0.162	0.593	0.374	0.2342
ZNF611	0.676	0.2495	0.893	0.511	0.374	0.2349
CEBPD	0.618	0.2681	0.824	0.516	0.375	0.2369
SRCAP	0.386	0.3498	1.752	0.49	0.375	0.2369
SON	0.658	0.2552	0.887	0.51	0.378	0.2422
ICE1	0.83	0.2031	0.719	0.506	0.379	0.2428
ZNF618	0.613	0.27	0.943	0.507	0.381	0.2482
ZXDB	0.974	0.165	0.274	0.513	0.383	0.2515
ZNF750	0.453	0.3252	1.37	0.495	0.385	0.2543
ZNF675	0.299	0.3825	1.821	0.483	0.385	0.2543
CTBP2	-0.004	0.5017	-0.224	0.593	0.385	0.2543
WDR5	0.846	0.1989	-0.55	0.552	0.385	0.2549
DEK	0.518	0.3023	0.346	0.534	0.386	0.257
TTF1	0.561	0.2873	1.306	0.491	0.387	0.2584
DRAP1	0.711	0.2386	0.543	0.514	0.388	0.2604
NFIL3	0.519	0.3019	1.081	0.499	0.391	0.2666
STAT3	-0.121	0.5483	-0.136	0.591	0.392	0.268
ZNF346	0.896	0.1851	0.286	0.51	0.392	0.268
MBD2	-0.105	0.5418	-0.587	0.641	0.394	0.2729
RBBP5	0.368	0.3563	-1.056	0.597	0.397	0.2771
MYBL2	0.542	0.2938	0.943	0.502	0.397	0.2771
ZNF101	0.367	0.3569	1.364	0.49	0.398	0.2806
ZSCAN16	0.285	0.3878	0.768	0.519	0.399	0.2814
LDB1	0.373	0.3547	1.359	0.489	0.399	0.2814
LARP7	-0.412	0.6599	0.557	0.564	0.399	0.2821
ICE2	0.574	0.2831	0.818	0.504	0.399	0.2821
MEF2A	0.042	0.4834	-0.008	0.561	0.403	0.2892
SOX11	0.144	0.4427	1.491	0.492	0.405	0.295
ZNF133	0.254	0.3999	1.61	0.48	0.406	0.2964
SOX13	0.512	0.3042	0.811	0.502	0.407	0.2971
DDX5	0.056	0.4777	0.677	0.529	0.41	0.3037
RB1	0.468	0.3197	-0.388	0.548	0.411	0.3066
KDM1A	-0.178	0.5705	0.409	0.552	0.412	0.3073
MECP2	0.726	0.2339	-0.267	0.531	0.412	0.3088
TTF2	0.456	0.3244	0.331	0.519	0.413	0.3095
TCF12	-0.33	0.6293	-0.014	0.58	0.413	0.3103
ZNF768	0.332	0.3698	1.271	0.486	0.413	0.311
PARP1	0.196	0.4224	1.706	0.476	0.413	0.311
ZNF331	0.189	0.4249	1.744	0.475	0.414	0.3125
GATA3	-1.302	0.9036	1.012	0.583	0.415	0.3147
MEF2B	-0.871	0.8081	0.194	0.607	0.415	0.3147
KDM5C	0.647	0.2588	-0.537	0.541	0.417	0.3184
PKNOX1	0.398	0.3452	1.183	0.483	0.417	0.3191
KLF8	0.782	0.2172	-0.043	0.514	0.418	0.3199
DPF2	0.172	0.4319	1.12	0.497	0.418	0.3206
RFX1	0.283	0.3887	0.977	0.498	0.419	0.3221
ZNF445	0.285	0.3877	1.307	0.482	0.419	0.3228
ARID2	0.691	0.2449	-0.544	0.537	0.42	0.3251
SIRT6	0.362	0.3586	1.076	0.488	0.421	0.3273
ARNT	0.235	0.407	0.923	0.5	0.422	0.3281
EED	-0.834	0.798	-0.168	0.659	0.423	0.3303
ZNF189	0.665	0.2531	0.086	0.51	0.423	0.3318
DDX20	0.368	0.3564	0.72	0.501	0.424	0.3333
ZNF414	0.727	0.2335	-0.011	0.512	0.424	0.3333
ZNF384	0.034	0.4863	0.48	0.527	0.425	0.3356
CEBPG	0.289	0.3862	1.143	0.485	0.426	0.3371
NR5A2	-0.064	0.5254	1.047	0.509	0.427	0.3386
MBD4	0.451	0.3262	0.753	0.494	0.427	0.3401
HOXA9	0.156	0.438	0.833	0.503	0.43	0.3462
PHF6	0.775	0.2192	-0.426	0.519	0.431	0.3477
ZNF547	0.059	0.4765	-0.025	0.541	0.433	0.3523
MXI1	0.402	0.3437	-0.982	0.554	0.44	0.3677
BRD4	-0.324	0.6271	-1.035	0.615	0.442	0.3716
DACOR1	0.121	0.452	1.517	0.471	0.443	0.3739
ZNF24	0.425	0.3355	0.233	0.503	0.446	0.3802
MYH11	0.187	0.4258	-1.024	0.563	0.446	0.3802
FOXO3	0.145	0.4422	0.479	0.505	0.448	0.3833
ZNF788	0.131	0.448	1.198	0.476	0.449	0.3864
RFX5	0.076	0.4697	-0.625	0.553	0.449	0.3872
HMBOX1	0.247	0.4026	0.932	0.48	0.451	0.3903
APOBEC3B	0.316	0.3759	0.708	0.485	0.453	0.3958
E2F5	0.497	0.3095	0.315	0.491	0.453	0.3958
ZNF140	-0.33	0.6293	1.206	0.499	0.454	0.3974
EGR1	0.084	0.4664	-1.102	0.568	0.454	0.3982
ZNF483	0.587	0.2786	-0.165	0.505	0.455	0.4006
NIPBL	-0.375	0.6461	-0.895	0.592	0.456	0.4014
ZNF697	0.043	0.483	1.419	0.471	0.456	0.4022
STAT1	0.066	0.4738	-0.443	0.54	0.457	0.4029
MYCN	0.461	0.3223	-0.665	0.53	0.457	0.4037
ZNF84	0.151	0.4401	1.129	0.473	0.458	0.4069
PMEL	0.137	0.4454	-0.316	0.531	0.459	0.4093
CBX3	-0.704	0.7592	0.98	0.519	0.463	0.4172
NFATC3	0.317	0.3756	0.485	0.485	0.464	0.4196
PYGO2	0.131	0.448	1.006	0.473	0.468	0.4284
GLYR1	0.51	0.305	-0.134	0.499	0.469	0.4316
LMTK3	-0.102	0.5405	0.992	0.484	0.473	0.4396
ZNF284	0.049	0.4803	1.245	0.467	0.475	0.4436
ZNF808	-0.053	0.5212	1.568	0.461	0.475	0.4436
ASXL1	0.572	0.2836	-0.486	0.504	0.476	0.4452
NCAPG2	0.081	0.4677	1.089	0.469	0.477	0.4484
ZNF26	0.017	0.4932	1.326	0.465	0.478	0.4516
MORC2	-0.149	0.5593	-0.577	0.546	0.479	0.4524
PBX2	-0.048	0.519	0.395	0.501	0.48	0.4549
ADNP	0.314	0.3767	0.377	0.48	0.48	0.4549
