TF_NAME	MATRIX_ID	Z_SCORE	P_VALUE	SAMPLE_AVERAGE	BACKGROUND_AVERAGE	SAMPLE_DEVSTD	SAMPLE_SIZE
FOS::JUNB	MA1134.1	2.11505	0.017087	0.802657	0.789905	0.0617003	93
FOSL1	MA0477.2	2.10161	0.0176706	0.795488	0.78171	0.0656171	93
Tcf12	MA0521.1	2.09768	0.0178617	0.875406	0.863658	0.0515343	93
PAX3	MA0780.1	2.08572	0.0183675	0.746201	0.72919	0.0842664	93
PRRX2	MA0075.3	2.07221	0.0189752	0.831411	0.8135	0.0925647	93
UNCX	MA0721.1	2.07034	0.0190583	0.870988	0.855265	0.0823498	93
ASCL1	MA1100.2	2.06748	0.0192357	0.885514	0.874797	0.0473419	93
DRGX	MA1481.1	2.06413	0.0193652	0.874831	0.859175	0.0777835	93
LEF1	MA0768.1	2.06035	0.019572	0.755987	0.744781	0.0498195	93
NFIC::TLX1	MA0119.1	2.0481	0.0200956	0.749414	0.738771	0.0602019	93
BHLHA15(var.2)	MA1472.1	2.03782	0.0206599	0.883935	0.87435	0.0448689	93
ASCL1(var.2)	MA1631.1	2.03232	0.0209603	0.851801	0.840361	0.0480496	93
SP4	MA0685.1	2.02438	0.021352	0.804906	0.791926	0.0578906	93
TGIF2LY	MA1572.1	2.01101	0.0220292	0.76584	0.756281	0.0459732	93
SNAI3	MA1559.1	2.00806	0.0221805	0.846539	0.835868	0.0523368	93
TLX2	MA1577.1	2.00538	0.0223182	0.860448	0.842124	0.0914394	93
VENTX	MA0724.1	2.00066	0.0225455	0.834786	0.821439	0.072363	93
Arid3a	MA0151.1	1.99711	0.0227834	0.908917	0.890637	0.0843198	93
CEBPA	MA0102.4	1.98298	0.0235117	0.774927	0.762792	0.0663082	93
MYOG	MA0500.2	1.97471	0.0240156	0.840758	0.827764	0.0623671	93
SP8	MA0747.1	1.97257	0.0241421	0.881155	0.870403	0.0507461	93
LHX6	MA0658.1	1.96868	0.0243306	0.819962	0.80722	0.0675673	93
TCF4	MA0830.2	1.96649	0.024508	0.850035	0.838917	0.0486978	93
FOSL2::JUNB	MA1138.1	1.96243	0.0246994	0.812286	0.799716	0.0649292	93
FOSB::JUNB	MA1135.1	1.95659	0.02504	0.816856	0.80477	0.0625592	93
ISX	MA0654.1	1.95023	0.0253891	0.857566	0.841417	0.0905439	93
Sox11	MA0869.1	1.94956	0.0254673	0.669017	0.656775	0.0610292	93
LMX1B	MA0703.2	1.94733	0.0256052	0.764893	0.746153	0.0920099	93
FOS::JUN	MA0099.3	1.93782	0.0261575	0.822415	0.810925	0.0606042	93
Klf12	MA0742.1	1.93464	0.0263834	0.819855	0.809666	0.0483228	93
TCF7L1	MA1421.1	1.93425	0.0263975	0.777864	0.767411	0.051435	93
ELF5	MA0136.2	1.93419	0.0264302	0.873427	0.864397	0.0396329	93
SHOX	MA0630.1	1.93072	0.0265742	0.87304	0.857587	0.0861688	93
KLF5	MA0599.1	1.93053	0.0266476	0.939848	0.92756	0.0558205	93
VSX2	MA0726.1	1.92934	0.0266724	0.836027	0.820343	0.0843614	93
Shox2	MA0720.1	1.92073	0.0271866	0.866738	0.85139	0.0880432	93
Alx1	MA0854.1	1.91731	0.0274063	0.755435	0.743078	0.0703244	93
SP3	MA0746.2	1.91294	0.0277311	0.86562	0.852593	0.0644708	93
TGIF2	MA0797.1	1.90228	0.0283729	0.740854	0.730896	0.0567377	93
SP1	MA0079.4	1.90033	0.0285673	0.825179	0.812589	0.0579546	93
CEBPB	MA0466.2	1.8924	0.0290217	0.821532	0.811598	0.0568418	93
FOSL2::JUND	MA1144.1	1.88995	0.0292101	0.812684	0.801056	0.0621181	93
EMX2	MA0886.1	1.88108	0.0298078	0.837239	0.82385	0.0714961	93
BSX	MA0876.1	1.87937	0.0299224	0.89878	0.886044	0.0683505	93
Foxj3	MA0851.1	1.86396	0.0310285	0.792896	0.779994	0.0607721	93
VSX1	MA0725.1	1.85413	0.0316724	0.850942	0.836006	0.0829146	93
POU6F1	MA0628.1	1.85228	0.031814	0.786616	0.770941	0.0849604	93
CUX1	MA0754.1	1.83431	0.0331285	0.787543	0.774403	0.0703787	93
Stat5b	MA1625.1	1.82238	0.0340472	0.800924	0.789661	0.055943	93
NFATC2	MA0152.1	1.81975	0.0342231	0.91346	0.903213	0.0547372	93
FOSL1::JUNB	MA1137.1	1.81847	0.0343072	0.807224	0.796883	0.0574353	93
RAX2	MA0717.1	1.8143	0.034586	0.872458	0.859182	0.0812508	93
DLX5	MA1476.1	1.80472	0.0353529	0.849286	0.833255	0.0928842	93
mix-a	MA0621.1	1.80147	0.0356165	0.779817	0.762142	0.100361	93
CEBPE	MA0837.1	1.79822	0.0358452	0.828918	0.819648	0.056163	93
Stat5a	MA1624.1	1.79674	0.0360101	0.814959	0.804115	0.0583414	93
KLF13	MA0657.1	1.78793	0.0367354	0.747418	0.739248	0.0413652	93
PKNOX2	MA0783.1	1.78364	0.0370191	0.73259	0.723001	0.0575312	93
LHX2	MA0700.2	1.78295	0.037064	0.816168	0.802205	0.085975	93
JUNB	MA0490.2	1.78182	0.0371981	0.779018	0.767068	0.0665178	93
BACH2(var.2)	MA1470.1	1.77914	0.0374055	0.70295	0.694831	0.0465813	93
FOXP2	MA0593.1	1.77039	0.0381372	0.837658	0.825244	0.0696291	93
JUND	MA0491.2	1.76776	0.0383542	0.782341	0.770631	0.0660351	93
FOXE1	MA1487.1	1.76542	0.038589	0.785985	0.774922	0.0558682	93
ARGFX	MA1463.1	1.76445	0.0386296	0.790073	0.775068	0.0850652	93
Klf1	MA0493.1	1.76209	0.038872	0.874993	0.865753	0.0462304	93
NFAT5	MA0606.1	1.75814	0.0391753	0.880664	0.871135	0.0522864	93
CEBPD	MA0836.2	1.74238	0.040461	0.787393	0.776794	0.0688465	93
NR6A1	MA1541.1	1.73585	0.0410912	0.755732	0.748165	0.0434975	93
SPI1	MA0080.5	1.73501	0.0411546	0.760059	0.751331	0.0515136	93
Ascl2	MA0816.1	1.73316	0.0413673	0.84684	0.83739	0.0489035	93
PAX7	MA0680.1	1.7189	0.0425973	0.732906	0.718947	0.0830564	93
MAF	MA1520.1	1.70956	0.0434719	0.757903	0.750653	0.0414278	93
TFAP4	MA0691.1	1.70862	0.0435788	0.805864	0.795801	0.05457	93
FOSL2::JUN	MA1130.1	1.70709	0.0436847	0.815939	0.805799	0.0601974	93
PHOX2A	MA0713.1	1.70318	0.0440199	0.784708	0.77139	0.0842947	93
KLF14	MA0740.1	1.70125	0.0442583	0.828487	0.818128	0.057419	93
NFATC1	MA0624.1	1.69622	0.0447442	0.888736	0.879874	0.0475549	93
GSC2	MA0891.1	1.69547	0.0447874	0.859371	0.85018	0.0530132	93
JDP2	MA0655.1	1.68766	0.0454864	0.781151	0.769973	0.0714433	93
TCF12(var.2)	MA1648.1	1.68746	0.045569	0.881316	0.871576	0.0537733	93
Msx3	MA0709.1	1.68008	0.0462021	0.858733	0.845244	0.0891291	93
ONECUT2	MA0756.1	1.67978	0.0463188	0.740148	0.72799	0.0659209	93
PAX1	MA0779.1	1.67144	0.047098	0.75443	0.74848	0.0354833	93
NFKB1	MA0105.4	1.66487	0.0476786	0.731558	0.722064	0.0653581	93
KLF16	MA0741.1	1.66053	0.0482301	0.882253	0.870747	0.0610432	93
MIXL1	MA0662.1	1.65439	0.0487838	0.869344	0.85787	0.0717327	93
Lhx4	MA0704.1	1.65174	0.0490191	0.863045	0.85153	0.0770236	93
TWIST1	MA1123.2	1.63825	0.0504668	0.8255	0.816578	0.0531917	93
MAFG	MA0659.2	1.62667	0.0516655	0.757847	0.749157	0.0542052	93
TCF7L2	MA0523.1	1.6267	0.0517122	0.821583	0.81315	0.0467658	93
SOX10	MA0442.2	1.62376	0.0519764	0.859816	0.849151	0.0664896	93
SPIC	MA0687.1	1.61253	0.0532361	0.81134	0.803793	0.0418359	93
PRRX1	MA0716.1	1.60879	0.053551	0.863065	0.850064	0.0882031	93
RAX	MA0718.1	1.60765	0.0536812	0.849174	0.837121	0.0809765	93
SCRT1	MA0743.2	1.60099	0.0544326	0.766934	0.759067	0.0512322	93
LBX1	MA0618.1	1.5899	0.0556995	0.856534	0.845877	0.0656186	93
KLF3	MA1516.1	1.5889	0.0558269	0.856224	0.846119	0.060107	93
LHX5	MA1519.1	1.57914	0.0568926	0.842854	0.830107	0.0836746	93
MYBL1	MA0776.1	1.57834	0.0569881	0.750458	0.74297	0.0487291	93
HSF1	MA0486.2	1.57614	0.0572085	0.747408	0.738534	0.0613776	93
NFATC4	MA1525.1	1.57103	0.0579057	0.8706	0.861923	0.0477121	93
ALX3	MA0634.1	1.5643	0.0586097	0.843556	0.8326	0.0726236	93
Foxl2	MA1607.1	1.56267	0.0588725	0.78615	0.774689	0.0648627	93
NFATC3	MA0625.1	1.55615	0.0596158	0.870475	0.861871	0.052112	93
Hmx3	MA0898.1	1.55531	0.0596895	0.742676	0.733844	0.0567433	93
RHOXF1	MA0719.1	1.55133	0.0601919	0.952476	0.946755	0.0346397	93
TCF3	MA0522.3	1.54994	0.0603537	0.880587	0.871721	0.0543543	93
ZNF384	MA1125.1	1.54836	0.0605482	0.819722	0.801516	0.110344	93
SPIB	MA0081.2	1.54419	0.0610199	0.785493	0.777921	0.0492073	93
ELF3	MA0640.2	1.54261	0.0611624	0.828114	0.820002	0.0576366	93
SP9	MA1564.1	1.54285	0.0611873	0.87573	0.865208	0.0676909	93
Ptf1a(var.3)	MA1620.1	1.53935	0.0616128	0.841902	0.833191	0.0560269	93
MAFF	MA0495.3	1.53848	0.0617248	0.75237	0.743798	0.0545081	93
ELF4	MA0641.1	1.5327	0.0624871	0.78839	0.779983	0.0472425	93
FOS::JUND	MA1141.1	1.51577	0.064521	0.800009	0.791116	0.0599117	93
MAFA	MA1521.1	1.51136	0.0650766	0.766879	0.760444	0.043812	93
TP63	MA0525.2	1.51101	0.0651282	0.703122	0.696725	0.0429244	93
ZNF282	MA1154.1	1.50593	0.0658108	0.746318	0.7402	0.0384472	93
MAF::NFE2	MA0501.1	1.50161	0.0663226	0.752611	0.745182	0.051035	93
PHOX2B	MA0681.2	1.49888	0.0667214	0.717497	0.70334	0.0889004	93
BCL6B	MA0731.1	1.49089	0.0676827	0.674515	0.667536	0.0511795	93
MSX2	MA0708.1	1.48929	0.0678763	0.850605	0.839384	0.0845594	93
HESX1	MA0894.1	1.48464	0.0685091	0.838269	0.826882	0.0834315	93
ZNF528	MA1597.1	1.48275	0.0686581	0.712836	0.70641	0.0543061	93
FOXK1	MA0852.2	1.48303	0.0687919	0.801065	0.792099	0.057867	93
FOSL1::JUN	MA1128.1	1.4753	0.0697926	0.807865	0.799226	0.0595024	93
Tcf21	MA0832.1	1.46338	0.0714066	0.745508	0.737949	0.0524378	93
EMX1	MA0612.2	1.46315	0.0714341	0.845363	0.834392	0.0765452	93
LHX9	MA0701.2	1.45564	0.0723997	0.841198	0.830304	0.0850465	93
GSX1	MA0892.1	1.45544	0.0724773	0.873843	0.865483	0.0602633	93
SNAI2	MA0745.2	1.4512	0.0730967	0.82282	0.814747	0.0551322	93
DUX4	MA0468.1	1.45056	0.0732078	0.809034	0.799608	0.0617268	93
Foxj2	MA0614.1	1.44587	0.0738808	0.863462	0.852875	0.0667482	93
GBX2	MA0890.1	1.43082	0.075911	0.842155	0.831573	0.0812186	93
Stat6	MA0520.1	1.41819	0.0777873	0.817087	0.809161	0.0562842	93
ONECUT3	MA0757.1	1.41844	0.0778115	0.73432	0.723323	0.0689151	93
Dlx2	MA0885.1	1.41306	0.0785034	0.871595	0.860045	0.0871945	93
FOXP1	MA0481.3	1.39084	0.0818789	0.826727	0.816202	0.0722814	93
GBX1	MA0889.1	1.38584	0.0825336	0.826806	0.817305	0.0778863	93
HSF4	MA0771.1	1.38491	0.0826808	0.788717	0.781862	0.0557581	93
Lhx3	MA0135.1	1.38402	0.0829126	0.787797	0.777149	0.0742636	93
EN1	MA0027.2	1.38286	0.0830086	0.875272	0.86567	0.0766642	93
ZNF684	MA1600.1	1.37865	0.083665	0.732489	0.727197	0.0417968	93
ZBTB18	MA0698.1	1.37892	0.0836743	0.800572	0.793457	0.0516995	93
OTX1	MA0711.1	1.36786	0.0853752	0.866976	0.858537	0.0634165	93
JUN::JUNB	MA1132.1	1.36783	0.0853833	0.825275	0.817917	0.0550661	93
DMRTA2	MA1478.1	1.36178	0.0863709	0.812284	0.804898	0.0518107	93
SCRT2	MA0744.2	1.3568	0.0870723	0.769294	0.762723	0.0534391	93
Foxd3	MA0041.1	1.35707	0.0871347	0.84931	0.840069	0.0626902	93
INSM1	MA0155.1	1.35652	0.0872275	0.862928	0.857047	0.0394523	93
OVOL1	MA1544.1	1.3511	0.0880659	0.754163	0.747231	0.0492221	93
RUNX2	MA0511.2	1.35045	0.0881336	0.837518	0.830783	0.0509165	93
VAX1	MA0722.1	1.34991	0.0882234	0.866583	0.857371	0.0692695	93
NFIC(var.2)	MA1527.1	1.33913	0.0898796	0.750361	0.743314	0.0604669	93
PDX1	MA0132.2	1.33828	0.0901029	0.871726	0.861063	0.0807148	93
DMRTC2	MA1479.1	1.33808	0.090164	0.782352	0.774699	0.0551226	93
MYB	MA0100.3	1.33415	0.0907585	0.872145	0.864485	0.0600194	93
Rbpjl	MA1621.1	1.32419	0.0924352	0.838617	0.831368	0.0539195	93
BACH2	MA1101.2	1.32293	0.0925803	0.716398	0.709513	0.0567878	93
KLF11	MA1512.1	1.3231	0.0926117	0.873578	0.865068	0.0638653	93
FOSL1::JUND	MA1142.1	1.31837	0.0933801	0.840233	0.832877	0.0572315	93
ESX1	MA0644.1	1.31489	0.0939088	0.85313	0.844224	0.0752427	93
PROP1	MA0715.1	1.31342	0.0942401	0.753261	0.741717	0.0854942	93
DLX6	MA0882.1	1.30709	0.0952306	0.878658	0.869207	0.079645	93
Dlx3	MA0880.1	1.29839	0.0967216	0.879173	0.869648	0.0800824	93
FOXA2	MA0047.3	1.29709	0.097034	0.819827	0.810188	0.0700445	93
VAX2	MA0723.1	1.2891	0.0983749	0.86477	0.856277	0.0665686	93
MSX1	MA0666.1	1.28812	0.0984599	0.870061	0.861427	0.0767061	93
DUXA	MA0884.1	1.28265	0.099453	0.793045	0.785032	0.0677823	93
FOXK2	MA1103.2	1.27386	0.101075	0.820899	0.811392	0.0720293	93
OTX2	MA0712.2	1.27314	0.101174	0.831464	0.823168	0.0661168	93
Arid3b	MA0601.1	1.26191	0.103167	0.806048	0.79376	0.100593	93
MEF2D	MA0773.1	1.26195	0.103243	0.767015	0.756895	0.0713597	93
HSF2	MA0770.1	1.25701	0.104053	0.758792	0.751853	0.0568494	93
Dlx4	MA0881.1	1.25347	0.10465	0.880007	0.871196	0.0772057	93
Foxf1	MA1606.1	1.24038	0.107132	0.821478	0.811742	0.0755777	93
BARX2	MA1471.1	1.24023	0.107182	0.823431	0.814035	0.0700926	93
FOXF2	MA0030.1	1.23995	0.107221	0.783746	0.775928	0.0598877	93
E2F6	MA0471.2	1.23392	0.108365	0.85962	0.852237	0.0541561	93
HOXD3	MA0912.2	1.22941	0.109162	0.826763	0.818275	0.0677042	93
BARX1	MA0875.1	1.21729	0.111429	0.887995	0.879305	0.0724758	93
ZBED1	MA0749.1	1.21541	0.111819	0.70626	0.700738	0.0436321	93
HOXA10	MA0899.1	1.21472	0.111964	0.832011	0.823298	0.0670825	93
EHF	MA0598.3	1.2079	0.113204	0.80958	0.803084	0.0561207	93
ELF2	MA1483.1	1.20406	0.114077	0.796578	0.790052	0.0439848	93
E2F3	MA0469.3	1.2022	0.114348	0.698725	0.69333	0.0436914	93
FOXB1	MA0845.1	1.19598	0.115595	0.804735	0.796028	0.0659938	93
KLF15	MA1513.1	1.19194	0.116395	0.872458	0.860109	0.0921716	93
NOTO	MA0710.1	1.18536	0.117607	0.857317	0.8494	0.068639	93
Foxo1	MA0480.1	1.18142	0.118424	0.83803	0.831147	0.0562476	93
REST	MA0138.2	1.18082	0.118456	0.695079	0.690243	0.0451315	93
SP2	MA0516.2	1.17471	0.119767	0.796079	0.78945	0.0539781	93
FOXC2	MA0846.1	1.17249	0.120262	0.826767	0.818261	0.063151	93
PITX2	MA1547.1	1.17195	0.120306	0.858033	0.849285	0.0730202	93
FOXA3	MA1683.1	1.16683	0.12134	0.822067	0.81337	0.0727913	93
Gfi1b	MA0483.1	1.16618	0.121469	0.843052	0.836853	0.0519792	93
BARHL2	MA0635.1	1.16612	0.121503	0.869729	0.863159	0.0530332	93
GCM1	MA0646.1	1.15663	0.123404	0.809775	0.804757	0.0427616	93
FOXD2	MA0847.2	1.15685	0.123445	0.819534	0.812352	0.0519596	93
LBX2	MA0699.1	1.15102	0.124464	0.853871	0.846595	0.0708967	93
MYBL2	MA0777.1	1.13765	0.127265	0.716889	0.71184	0.0478252	93
HOXB3	MA0903.1	1.13417	0.128039	0.878099	0.870484	0.0675649	93
Sox1	MA0870.1	1.1311	0.128699	0.699011	0.692287	0.0584276	93
ELF1	MA0473.3	1.12773	0.129363	0.813286	0.80716	0.0572987	93
FOXA1	MA0148.4	1.12152	0.130726	0.794998	0.786924	0.0707406	93
MEIS1(var.2)	MA1639.1	1.11558	0.132061	0.78769	0.780327	0.0570733	93
KLF10	MA1511.1	1.11017	0.133152	0.867832	0.861439	0.0567301	93
PITX3	MA0714.1	1.10847	0.133484	0.859794	0.853187	0.0619094	93
MNX1	MA0707.1	1.10722	0.133765	0.864976	0.857582	0.0682454	93
PAX9	MA0781.1	1.08938	0.137647	0.726751	0.722568	0.0398926	93
MEF2B	MA0660.1	1.07748	0.140375	0.755447	0.747181	0.0686782	93
Hmx2	MA0897.1	1.07512	0.140869	0.742021	0.735962	0.0535949	93
SOX21	MA0866.1	1.07376	0.141161	0.697974	0.69156	0.0579463	93
ZNF682	MA1599.1	1.07207	0.141592	0.772663	0.766683	0.0493607	93
KLF4	MA0039.4	1.06677	0.142741	0.88722	0.879556	0.0689869	93
MEF2C	MA0497.1	1.0531	0.1459	0.809961	0.802844	0.0591518	93
NFE2L1	MA0089.2	1.05188	0.146134	0.742905	0.737551	0.0485511	93
CTCFL	MA1102.2	1.04567	0.147599	0.846886	0.839568	0.0623265	93
TP53	MA0106.3	1.04331	0.147972	0.712112	0.707924	0.0463879	93
ELK4	MA0076.2	1.04028	0.148881	0.858843	0.852902	0.0474973	93
PPARD	MA1550.1	1.03924	0.149025	0.757338	0.75284	0.0430939	93
Rhox11	MA0629.1	1.03811	0.149322	0.798105	0.793401	0.0426792	93
KLF9	MA1107.2	1.03623	0.14976	0.801031	0.794726	0.057286	93
MYOD1	MA0499.2	1.03235	0.150643	0.830793	0.825451	0.0506985	93
NFIX(var.2)	MA1528.1	1.02973	0.151208	0.762067	0.756761	0.0544717	93
Hmx1	MA0896.1	1.02726	0.151849	0.763495	0.758219	0.0493976	93
FOXN3	MA1489.1	1.02356	0.152673	0.774194	0.765425	0.0888828	93
SOX15	MA1152.1	1.01776	0.154094	0.873522	0.866958	0.0623113	93
Dlx1	MA0879.1	1.01323	0.155116	0.863378	0.856185	0.0747766	93
Nfe2l2	MA0150.2	1.00859	0.156256	0.751581	0.746756	0.0483009	93
Ebf2	MA1604.1	1.00681	0.156644	0.805262	0.799487	0.0611901	93
FOXP3	MA0850.1	0.986545	0.161655	0.913287	0.908238	0.047407	93
GFI1	MA0038.2	0.985679	0.161857	0.801604	0.796408	0.0496735	93
HNF1A	MA0046.2	0.979152	0.163427	0.739157	0.731904	0.0742331	93
Lhx8	MA0705.1	0.978777	0.163508	0.869813	0.863363	0.0673117	93
MSC	MA0665.1	0.978296	0.163677	0.813117	0.808316	0.0461856	93
HOXB2	MA0902.2	0.971059	0.165446	0.880224	0.873685	0.066302	93
FOXO6	MA0849.1	0.963106	0.167468	0.860345	0.853485	0.0661731	93
Zfx	MA0146.2	0.9355	0.174487	0.861645	0.855406	0.0619063	93
MEF2A	MA0052.4	0.933505	0.175042	0.773884	0.766248	0.0700362	93
BARHL1	MA0877.2	0.928845	0.176182	0.888914	0.884044	0.050775	93
KLF2	MA1515.1	0.918729	0.178829	0.900257	0.894352	0.0609982	93
PITX1	MA0682.2	0.917925	0.178954	0.854875	0.848458	0.0755361	93
ETV6	MA0645.1	0.916359	0.179536	0.856449	0.851358	0.0441119	93
Nobox	MA0125.1	0.909749	0.181106	0.863097	0.856964	0.0725318	93
PAX6	MA0069.1	0.906533	0.182002	0.771686	0.767996	0.04098	93
TFDP1	MA1122.1	0.893359	0.185543	0.855794	0.849665	0.0651957	93
SMAD5	MA1557.1	0.892399	0.185819	0.785903	0.781728	0.0429942	93
BACH1	MA1633.1	0.875681	0.19031	0.771942	0.766999	0.0539608	93
SMAD3	MA0795.1	0.873617	0.190877	0.757356	0.752813	0.0492715	93
ZNF274	MA1592.1	0.873044	0.191017	0.779407	0.775754	0.040777	93
GRHL2	MA1105.2	0.856155	0.195637	0.787424	0.782541	0.0572158	93
FOXO3	MA0157.2	0.854688	0.196046	0.829117	0.823193	0.069194	93
NHLH2	MA1529.1	0.852122	0.196691	0.740589	0.736319	0.0551022	93
FIGLA	MA0820.1	0.840695	0.199975	0.868296	0.863992	0.0486006	93
Dmbx1	MA0883.1	0.839796	0.200209	0.788998	0.784689	0.0502928	93
NKX6-2	MA0675.1	0.838611	0.200477	0.876073	0.869819	0.08049	93
OSR2	MA1646.1	0.833429	0.202058	0.843045	0.838609	0.0467802	93
HOXA2	MA0900.2	0.83063	0.202791	0.839572	0.833052	0.0767605	93
ZEB1	MA0103.3	0.819453	0.205919	0.878671	0.87369	0.0639114	93
NRL	MA0842.2	0.812767	0.207902	0.783303	0.779201	0.047212	93
KLF6	MA1517.1	0.808914	0.20894	0.885133	0.880258	0.0631805	93
SREBF1(var.2)	MA0829.2	0.807927	0.209317	0.773657	0.769071	0.0507045	93
FOXO4	MA0848.1	0.802961	0.210746	0.874876	0.869398	0.0614191	93
Mafb	MA0117.2	0.79974	0.21163	0.816918	0.812943	0.0489715	93
NFE2	MA0841.1	0.795893	0.212718	0.760774	0.756022	0.0615708	93
FOXG1	MA0613.1	0.79457	0.213158	0.832194	0.825753	0.0762628	93
SRY	MA0084.1	0.793356	0.213516	0.879664	0.874533	0.0603524	93
SOX12	MA1561.1	0.79228	0.213856	0.769133	0.765074	0.0453404	93
POU4F1	MA0790.1	0.791278	0.214152	0.735131	0.728739	0.0709958	93
Dmrt1	MA1603.1	0.785072	0.215871	0.7615	0.756716	0.0635264	93
NR2C2	MA0504.1	0.784954	0.215925	0.826843	0.823751	0.0398264	93
OVOL2	MA1545.1	0.782633	0.216644	0.790707	0.786856	0.046697	93
PLAGL2	MA1548.1	0.780982	0.217058	0.852047	0.846444	0.0764596	93
HOXB5	MA0904.2	0.775052	0.21887	0.858598	0.853491	0.0634869	93
EBF3	MA1637.1	0.770978	0.220011	0.804187	0.799623	0.0632595	93
Bach1::Mafk	MA0591.1	0.762121	0.222725	0.769958	0.76653	0.0422357	93
CREB1	MA0018.4	0.761017	0.223058	0.792316	0.786928	0.066061	93
HOXD11	MA0908.1	0.757912	0.223953	0.816276	0.811412	0.0636461	93
HOXC8	MA1505.1	0.753726	0.225206	0.876578	0.871986	0.0606773	93
