TF	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
GATA3	3.483	2.481e-04	1.987	0.571	0.083	2.543e-03
HMG20A	1.712	4.340e-02	2.006	0.626	0.083	2.610e-03
TP63	6.850	3.698e-12	2.082	0.546	0.084	2.678e-03
FUS	2.196	1.404e-02	2.387	0.558	0.084	2.678e-03
SMAD1	2.112	1.733e-02	2.210	0.572	0.084	2.713e-03
NFKB2	2.152	1.571e-02	2.515	0.548	0.084	2.713e-03
BATF3	1.722	4.249e-02	1.941	0.649	0.086	2.818e-03
ZNF384	1.796	3.628e-02	2.310	0.568	0.087	2.926e-03
WWTR1	2.316	1.028e-02	2.048	0.576	0.088	3.112e-03
EBNA3	1.700	4.454e-02	2.012	0.608	0.089	3.188e-03
TCF4	2.233	1.278e-02	2.126	0.570	0.090	3.266e-03
TRIM22	2.274	1.149e-02	2.163	0.564	0.091	3.345e-03
ZNF597	1.667	4.777e-02	2.130	0.586	0.091	3.345e-03
CD74	2.280	1.130e-02	1.563	0.655	0.095	3.890e-03
EBNA2	1.609	5.380e-02	2.394	0.564	0.096	4.024e-03
TEAD1-TEAD4	1.613	5.338e-02	2.332	0.565	0.097	4.160e-03
GATA6	3.098	9.731e-04	2.350	0.528	0.098	4.300e-03
HOXA9	1.757	3.944e-02	2.370	0.549	0.098	4.300e-03
FOSL2	8.436	1.644e-17	1.717	0.563	0.099	4.395e-03
BANF1	2.471	6.734e-03	2.222	0.543	0.100	4.491e-03
EED	1.825	3.397e-02	2.072	0.567	0.103	4.890e-03
PGBD3	1.649	4.953e-02	2.047	0.578	0.104	4.993e-03
DAXX	1.970	2.443e-02	2.557	0.529	0.104	5.098e-03
EWSR1	1.535	6.240e-02	2.454	0.547	0.105	5.151e-03
CBX5	1.683	4.619e-02	2.800	0.531	0.105	5.151e-03
SKI	1.682	4.628e-02	1.892	0.591	0.105	5.204e-03
GRIP1	1.851	3.209e-02	1.852	0.580	0.106	5.421e-03
RUNX3	1.552	6.032e-02	2.372	0.551	0.107	5.476e-03
TERF1	1.593	5.559e-02	2.239	0.560	0.107	5.476e-03
RXRG	3.034	1.208e-03	1.813	0.562	0.107	5.588e-03
ZBTB16	1.443	7.451e-02	1.848	0.616	0.114	6.659e-03
PCGF2	2.081	1.870e-02	2.009	0.549	0.114	6.722e-03
STAT5A	1.617	5.295e-02	1.803	0.591	0.114	6.722e-03
FOXP1	1.461	7.196e-02	1.895	0.600	0.115	6.914e-03
MBD3	2.024	2.147e-02	1.482	0.606	0.116	7.044e-03
NCOR2	1.997	2.290e-02	1.859	0.566	0.116	7.110e-03
SMC1A	5.699	6.019e-09	1.656	0.544	0.117	7.242e-03
NKX2-1	2.260	1.192e-02	2.565	0.506	0.118	7.309e-03
MED12	1.757	3.946e-02	1.716	0.583	0.118	7.309e-03
ERCC6	1.620	5.264e-02	2.874	0.515	0.119	7.581e-03
PRDM1	2.062	1.962e-02	2.160	0.530	0.122	8.216e-03
HNF1A	1.643	5.021e-02	1.734	0.580	0.123	8.362e-03
CTCF	21.431	3.435e-102	1.688	0.532	0.124	8.584e-03
RAD21	6.497	4.094e-11	1.584	0.539	0.124	8.659e-03
RXRA	2.599	4.673e-03	1.623	0.565	0.125	8.734e-03
CEBPA	1.806	3.543e-02	1.297	0.618	0.127	9.195e-03
TERF2	1.522	6.399e-02	2.136	0.545	0.127	9.195e-03
HOXB13	2.573	5.047e-03	2.053	0.526	0.127	9.273e-03
ZBED1	2.079	1.880e-02	1.933	0.543	0.128	9.511e-03
NUP98-HOXA9	1.478	6.968e-02	2.247	0.538	0.131	1.008e-02
PSIP1	1.497	6.714e-02	2.432	0.525	0.131	1.016e-02
TCF21	2.755	2.938e-03	1.822	0.537	0.131	1.016e-02
STAT5B	2.730	3.164e-03	1.500	0.562	0.132	1.025e-02
MEF2A	1.509	6.561e-02	1.969	0.558	0.132	1.025e-02
PRMT5	1.620	5.258e-02	1.769	0.567	0.132	1.033e-02
TLX1	1.469	7.091e-02	2.259	0.537	0.132	1.042e-02
PBX3	1.504	6.626e-02	2.327	0.529	0.133	1.050e-02
TP73	1.759	3.932e-02	2.141	0.524	0.135	1.111e-02
MAFK	1.655	4.893e-02	2.212	0.525	0.136	1.120e-02
EPAS1	1.521	6.416e-02	2.044	0.545	0.136	1.120e-02
EBF1	1.684	4.611e-02	1.481	0.579	0.136	1.129e-02
SNAI2	3.568	1.797e-04	1.972	0.506	0.136	1.129e-02
STAT5	1.693	4.522e-02	1.655	0.567	0.137	1.156e-02
NR3C1	3.330	4.340e-04	1.365	0.554	0.138	1.174e-02
SMC3	5.068	2.008e-07	1.444	0.535	0.140	1.240e-02
TTF1	1.586	5.637e-02	2.541	0.502	0.141	1.269e-02
NFIC	1.260	1.037e-01	1.851	0.568	0.143	1.318e-02
ARID1A	1.694	4.510e-02	2.428	0.496	0.143	1.318e-02
MEF2C	1.514	6.498e-02	1.910	0.544	0.146	1.409e-02
PML	1.789	3.681e-02	1.071	0.581	0.151	1.538e-02
POU2F2	1.643	5.021e-02	1.797	0.540	0.151	1.549e-02
SMARCA4	1.958	2.509e-02	0.945	0.590	0.153	1.616e-02
LHX2	0.791	2.145e-01	1.657	0.593	0.158	1.781e-02
KMT2B	1.393	8.181e-02	2.054	0.524	0.159	1.817e-02
CDX2	1.531	6.290e-02	2.088	0.505	0.166	2.075e-02
LMNA	1.356	8.754e-02	2.377	0.494	0.168	2.143e-02
DACOR1	1.024	1.529e-01	2.689	0.494	0.168	2.143e-02
HIRA	1.666	4.789e-02	1.956	0.506	0.169	2.156e-02
ZIM3	1.305	9.599e-02	2.278	0.496	0.169	2.184e-02
SUMO1	3.379	3.643e-04	1.453	0.509	0.170	2.212e-02
ZBTB2	1.571	5.814e-02	1.892	0.512	0.172	2.283e-02
ZNF22	1.034	1.505e-01	2.437	0.495	0.173	2.326e-02
JUNB	0.883	1.886e-01	1.054	0.652	0.174	2.355e-02
SOX11	1.092	1.375e-01	2.410	0.494	0.174	2.355e-02
KMT2A	2.427	7.611e-03	0.869	0.549	0.176	2.444e-02
ZNF512	1.525	6.362e-02	2.001	0.498	0.179	2.582e-02
KDM1A	0.974	1.651e-01	1.377	0.571	0.180	2.613e-02
HOTAIR	1.562	5.914e-02	2.143	0.486	0.181	2.660e-02
HDAC4	1.333	9.119e-02	1.798	0.516	0.185	2.839e-02
SMAD3	1.037	1.498e-01	0.950	0.590	0.185	2.855e-02
TCF7L2	1.114	1.326e-01	1.664	0.533	0.187	2.922e-02
RING1	1.314	9.450e-02	1.845	0.511	0.187	2.956e-02
REPIN1	0.993	1.603e-01	1.827	0.526	0.188	2.990e-02
GRHL3	1.477	6.982e-02	1.533	0.526	0.188	3.008e-02
JARID2	3.782	7.780e-05	0.822	0.521	0.189	3.042e-02
ZNF92	1.068	1.427e-01	2.085	0.497	0.189	3.060e-02
CHAT	1.191	1.168e-01	2.298	0.485	0.190	3.077e-02
DMC1	0.988	1.615e-01	2.298	0.492	0.190	3.095e-02
NME2	1.230	1.093e-01	2.143	0.491	0.191	3.112e-02
CREBBP	0.887	1.876e-01	1.257	0.570	0.192	3.165e-02
HES2	3.823	6.587e-05	1.094	0.496	0.194	3.273e-02
MAF	1.201	1.148e-01	2.159	0.487	0.195	3.328e-02
TSC22D4	0.255	3.993e-01	1.475	0.625	0.197	3.421e-02
SATB1	0.722	2.352e-01	2.399	0.491	0.200	3.612e-02
ZNF654	1.617	5.294e-02	1.511	0.502	0.200	3.612e-02
NANOG	1.934	2.654e-02	1.507	0.494	0.201	3.651e-02
DEK	1.281	1.001e-01	1.760	0.500	0.204	3.831e-02
BRD4	2.611	4.508e-03	-0.515	0.611	0.206	3.933e-02
ZNF317	1.040	1.492e-01	2.217	0.481	0.206	3.933e-02
BRD9	1.279	1.005e-01	1.422	0.521	0.208	4.079e-02
OTX2	0.738	2.303e-01	1.166	0.565	0.208	4.079e-02
ZMYM3	0.843	1.995e-01	0.802	0.580	0.209	4.100e-02
ZNF750	0.918	1.792e-01	2.107	0.488	0.209	4.121e-02
MAML3	1.439	7.510e-02	1.946	0.483	0.210	4.164e-02
POLR3D	1.502	6.651e-02	1.571	0.495	0.211	4.206e-02
KDM1B	0.787	2.155e-01	2.383	0.480	0.211	4.228e-02
KDM6B	1.356	8.752e-02	1.367	0.513	0.212	4.293e-02
ZFP57	1.377	8.426e-02	1.746	0.492	0.212	4.293e-02
ZNF783	1.576	5.751e-02	0.412	0.556	0.212	4.315e-02
LMO1	1.055	1.458e-01	1.787	0.496	0.213	4.337e-02
MYOG	1.034	1.505e-01	1.965	0.487	0.213	4.359e-02
EHF	0.987	1.619e-01	0.954	0.554	0.214	4.381e-02
ZNF808	0.704	2.406e-01	2.585	0.475	0.215	4.470e-02
ATF2	0.630	2.642e-01	1.067	0.569	0.216	4.538e-02
ERG	1.137	1.277e-01	0.340	0.576	0.217	4.629e-02
CDK8	1.972	2.430e-02	0.265	0.538	0.220	4.792e-02
KDM2B	3.252	5.725e-04	-0.183	0.542	0.220	4.815e-02
SOX2	0.779	2.180e-01	1.225	0.542	0.221	4.839e-02
PRKDC	0.979	1.638e-01	1.235	0.526	0.224	5.030e-02
E2F7	1.500	6.677e-02	0.937	0.523	0.224	5.030e-02
BHLHE40	0.965	1.672e-01	0.888	0.547	0.224	5.079e-02
MYOD1	0.992	1.607e-01	1.448	0.510	0.225	5.103e-02
DRAP1	1.210	1.132e-01	1.371	0.506	0.225	5.103e-02
EZH2	2.373	8.816e-03	0.395	0.517	0.225	5.128e-02
KDM6A	0.984	1.625e-01	1.799	0.491	0.225	5.128e-02
ESCO2	1.085	1.390e-01	1.495	0.498	0.226	5.227e-02
DPPA2	0.829	2.035e-01	2.026	0.482	0.229	5.403e-02
NR1H3	1.537	6.220e-02	1.493	0.483	0.231	5.531e-02
NIPBL	0.737	2.307e-01	0.229	0.601	0.231	5.557e-02
SIRT1	1.051	1.467e-01	1.733	0.486	0.231	5.557e-02
TOP1	1.379	8.395e-02	1.234	0.497	0.233	5.714e-02
PAX3	0.824	2.049e-01	1.961	0.482	0.234	5.794e-02
MLLT3	1.017	1.547e-01	1.507	0.494	0.235	5.847e-02
SRCAP	0.696	2.432e-01	2.221	0.474	0.236	5.901e-02
TRIM28	0.443	3.288e-01	1.781	0.510	0.236	5.928e-02
PHOX2B	0.758	2.241e-01	2.027	0.478	0.236	5.928e-02
EOMES	1.133	1.286e-01	1.711	0.479	0.241	6.287e-02
IRF5	0.725	2.343e-01	2.023	0.476	0.242	6.372e-02
HDAC3	0.386	3.497e-01	1.365	0.535	0.244	6.515e-02
SMARCB1	1.218	1.117e-01	0.541	0.531	0.244	6.544e-02
GATA1	1.297	9.736e-02	1.203	0.493	0.246	6.660e-02
MTA2	0.377	3.530e-01	0.545	0.583	0.247	6.808e-02
TBX5	1.100	1.356e-01	1.734	0.473	0.248	6.897e-02
MYH11	1.481	6.925e-02	0.515	0.513	0.249	6.957e-02
MCM2	0.717	2.365e-01	1.950	0.476	0.250	7.017e-02
CBFB	1.796	3.628e-02	0.232	0.509	0.250	7.048e-02
HNF4A	1.389	8.246e-02	1.089	0.490	0.251	7.078e-02
WRNIP1	0.999	1.590e-01	1.307	0.492	0.252	7.201e-02
PGR	0.851	1.973e-01	1.538	0.483	0.254	7.387e-02
DLX2	0.838	2.009e-01	1.583	0.483	0.255	7.450e-02
H2AZ	3.052	1.135e-03	-1.072	0.557	0.255	7.482e-02
POU5F1	0.963	1.678e-01	0.924	0.510	0.255	7.482e-02
MKL2	1.491	6.804e-02	0.799	0.495	0.255	7.482e-02
SMAD2-SMAD3	0.440	3.301e-01	0.733	0.557	0.255	7.482e-02
ZNF136	0.488	3.126e-01	2.405	0.462	0.256	7.577e-02
LIN9	0.834	2.021e-01	1.524	0.483	0.259	7.802e-02
FANCD2	0.662	2.539e-01	1.941	0.473	0.261	7.966e-02
CHRM2	0.725	2.342e-01	0.648	0.533	0.262	8.065e-02
LMNB1	0.714	2.376e-01	1.776	0.475	0.262	8.099e-02
RNF2	1.012	1.559e-01	0.494	0.518	0.263	8.233e-02
MAFF	0.703	2.411e-01	1.902	0.469	0.265	8.402e-02
CDK2	0.604	2.730e-01	1.733	0.478	0.268	8.678e-02
NFE2L2	0.615	2.692e-01	0.567	0.535	0.269	8.713e-02
ZNF490	0.526	2.994e-01	2.052	0.464	0.273	9.140e-02
SRF	1.221	1.111e-01	0.249	0.507	0.275	9.395e-02
ZNF680	0.393	3.473e-01	1.731	0.481	0.278	9.693e-02
ZNF485	0.564	2.862e-01	1.863	0.466	0.278	9.693e-02
TLE3	0.591	2.774e-01	1.664	0.474	0.279	9.730e-02
TARDBP	0.631	2.639e-01	0.010	0.548	0.280	9.920e-02
RCOR1	0.338	3.676e-01	0.843	0.529	0.281	9.996e-02
ZNF486	0.361	3.592e-01	2.122	0.464	0.281	9.996e-02
CEBPD	0.307	3.794e-01	0.233	0.565	0.281	9.996e-02
NR2F2	0.592	2.768e-01	0.822	0.508	0.282	1.007e-01
TAT	0.745	2.282e-01	1.329	0.477	0.283	1.015e-01
HLF	0.726	2.340e-01	1.693	0.464	0.286	1.050e-01
CBX2	0.890	1.867e-01	0.861	0.486	0.288	1.070e-01
ZNF284	0.477	3.168e-01	1.952	0.461	0.289	1.086e-01
CTNNB1	0.693	2.441e-01	1.437	0.474	0.290	1.095e-01
CHD4	1.228	1.097e-01	0.290	0.492	0.290	1.099e-01
LDB1	0.579	2.812e-01	1.627	0.467	0.291	1.111e-01
ETS1	1.025	1.526e-01	-0.536	0.542	0.294	1.140e-01
NR1H2	1.132	1.289e-01	1.018	0.468	0.294	1.144e-01
ZNF133	0.449	3.268e-01	1.918	0.459	0.295	1.153e-01
ETV4	0.257	3.985e-01	0.257	0.546	0.295	1.153e-01
MITF	0.295	3.841e-01	1.146	0.498	0.295	1.157e-01
BCOR	0.934	1.753e-01	0.234	0.499	0.295	1.161e-01
CTCFL	1.269	1.022e-01	0.379	0.484	0.295	1.161e-01
SMARCE1	0.381	3.517e-01	1.261	0.486	0.296	1.165e-01
REL	0.753	2.257e-01	-0.174	0.527	0.298	1.191e-01
SUMO2	-0.194	5.768e-01	1.249	0.532	0.299	1.204e-01
GLI2	0.503	3.074e-01	-0.684	0.588	0.299	1.208e-01
PRDM6	0.710	2.388e-01	1.110	0.475	0.300	1.213e-01
MAFG	0.627	2.653e-01	1.658	0.459	0.301	1.230e-01
CDK9	1.296	9.753e-02	-0.653	0.531	0.302	1.243e-01
NR4A1	0.111	4.559e-01	0.536	0.543	0.303	1.252e-01
PMEL	0.211	4.163e-01	-0.243	0.573	0.304	1.266e-01
ING5	0.448	3.272e-01	1.768	0.459	0.305	1.279e-01
ERCC3	0.478	3.165e-01	1.700	0.461	0.306	1.284e-01
CBX3	-0.097	5.387e-01	1.466	0.500	0.306	1.288e-01
FOXH1	0.511	3.047e-01	1.359	0.472	0.306	1.288e-01
BCL11A	-0.032	5.128e-01	0.136	0.575	0.307	1.297e-01
BIRA	0.215	4.150e-01	1.302	0.487	0.307	1.297e-01
ERCC2	0.368	3.564e-01	1.955	0.456	0.309	1.325e-01
DDX5	0.111	4.557e-01	0.843	0.522	0.309	1.330e-01
BCLAF1	0.283	3.884e-01	-0.133	0.547	0.310	1.339e-01
SS18	0.542	2.938e-01	0.557	0.493	0.312	1.367e-01
BMI1	0.396	3.460e-01	0.724	0.495	0.312	1.372e-01
BRD7	0.775	2.191e-01	0.671	0.479	0.313	1.386e-01
FXR2	0.538	2.955e-01	1.370	0.465	0.314	1.396e-01
ZNF781	0.206	4.183e-01	1.594	0.470	0.316	1.425e-01
ZNF793	0.469	3.195e-01	1.536	0.459	0.316	1.425e-01
KDM3B	0.871	1.919e-01	0.566	0.475	0.318	1.444e-01
ZFAT	0.544	2.934e-01	1.274	0.465	0.318	1.454e-01
ZNF75D	0.390	3.484e-01	1.754	0.456	0.319	1.464e-01
FOXP3	0.913	1.807e-01	0.390	0.477	0.320	1.469e-01
HOXC9	0.537	2.956e-01	1.476	0.458	0.321	1.489e-01
MGEA5	0.709	2.391e-01	0.731	0.475	0.321	1.494e-01
ZNF519	0.871	1.919e-01	0.179	0.485	0.321	1.494e-01
CCND2	0.790	2.149e-01	0.386	0.480	0.321	1.494e-01
SSU72	0.591	2.773e-01	1.038	0.468	0.322	1.504e-01
ZNF440	0.319	3.748e-01	1.852	0.453	0.322	1.509e-01
PRDM14	0.549	2.914e-01	1.169	0.465	0.322	1.509e-01
TAZ	0.598	2.748e-01	0.967	0.468	0.323	1.514e-01
EBF3	0.349	3.635e-01	1.309	0.468	0.323	1.519e-01
ATF3	0.140	4.445e-01	0.035	0.541	0.325	1.544e-01
ERF	0.520	3.014e-01	1.442	0.458	0.325	1.549e-01
DNMT3A	0.286	3.874e-01	0.233	0.512	0.325	1.549e-01
GRHL2	-0.154	5.610e-01	0.946	0.513	0.326	1.560e-01
CNOT3	0.747	2.276e-01	0.368	0.479	0.326	1.560e-01
TET2	0.251	4.007e-01	0.433	0.505	0.326	1.565e-01
ZNF202	0.535	2.962e-01	0.911	0.472	0.327	1.580e-01
PBX1	-0.134	5.533e-01	0.714	0.525	0.327	1.580e-01
SCRT1	0.135	4.462e-01	0.913	0.491	0.334	1.671e-01
TCF7	-0.048	5.192e-01	0.672	0.512	0.334	1.681e-01
PHF6	0.925	1.774e-01	-0.256	0.488	0.334	1.681e-01
ICE1	0.773	2.199e-01	0.605	0.466	0.335	1.698e-01
CEBPG	0.309	3.785e-01	1.159	0.466	0.337	1.725e-01
PHIP	1.480	6.940e-02	-0.921	0.495	0.337	1.725e-01
SSRP1	0.124	4.509e-01	1.406	0.469	0.338	1.731e-01
ZNF675	0.266	3.952e-01	1.767	0.451	0.338	1.736e-01
AR	-0.526	7.007e-01	1.233	0.522	0.340	1.775e-01
ARID3A	0.583	2.801e-01	0.961	0.459	0.343	1.821e-01
CDCA2	0.379	3.522e-01	1.281	0.456	0.347	1.872e-01
ZNF766	0.297	3.830e-01	1.046	0.465	0.347	1.878e-01
ZEB1	0.335	3.688e-01	-0.612	0.534	0.348	1.896e-01
SMAD2	0.370	3.557e-01	1.062	0.460	0.349	1.919e-01
ZNF282	0.948	1.716e-01	-0.199	0.474	0.351	1.943e-01
ETV5	0.196	4.221e-01	0.447	0.486	0.351	1.943e-01
TERC	0.525	2.998e-01	1.179	0.452	0.352	1.955e-01
CDK7	0.681	2.481e-01	-0.651	0.507	0.352	1.967e-01
ZNF823	0.246	4.029e-01	1.535	0.450	0.353	1.984e-01
USF1	0.550	2.913e-01	0.136	0.476	0.354	1.990e-01
ZNF84	0.297	3.832e-01	1.440	0.452	0.354	1.997e-01
CRY1	0.191	4.241e-01	1.740	0.447	0.354	1.997e-01
ZNF445	0.317	3.756e-01	1.341	0.453	0.354	2.003e-01
ZNF697	-0.196	5.779e-01	0.898	0.494	0.355	2.009e-01
SMAD4	-0.154	5.613e-01	0.168	0.525	0.355	2.009e-01
HMBOX1	0.374	3.540e-01	1.153	0.456	0.356	2.021e-01
ZNF382	0.299	3.824e-01	1.234	0.454	0.360	2.094e-01
TBL1XR1	-0.016	5.065e-01	-0.426	0.541	0.360	2.094e-01
NKX3-1	0.212	4.159e-01	1.393	0.452	0.361	2.119e-01
JMJD6	0.730	2.328e-01	-0.636	0.492	0.361	2.119e-01
CUX1	-0.892	8.137e-01	-0.001	0.615	0.364	2.163e-01
SUZ12	0.198	4.217e-01	-0.310	0.508	0.365	2.188e-01
ZNF479	0.367	3.568e-01	0.962	0.455	0.366	2.201e-01
NCOR1	0.006	4.975e-01	-0.570	0.540	0.367	2.213e-01
PDX1	0.281	3.895e-01	1.155	0.453	0.368	2.245e-01
RBL1	0.405	3.426e-01	0.757	0.458	0.369	2.252e-01
BRDU	-0.263	6.036e-01	1.316	0.469	0.371	2.284e-01
NFE2L1	0.012	4.951e-01	0.933	0.466	0.374	2.342e-01
ZNF362	0.430	3.336e-01	0.754	0.454	0.374	2.349e-01
PIAS1	0.123	4.512e-01	1.317	0.452	0.375	2.362e-01
KLF16	0.326	3.723e-01	0.725	0.458	0.377	2.408e-01
SIX2	0.120	4.523e-01	1.090	0.456	0.379	2.435e-01
RAG2	0.692	2.444e-01	-0.421	0.474	0.381	2.482e-01
ZNF26	0.117	4.535e-01	1.461	0.443	0.384	2.536e-01
ZBTB14	0.719	2.361e-01	-0.670	0.476	0.386	2.577e-01
GTF2I	0.159	4.368e-01	0.552	0.463	0.388	2.597e-01
ZNF506	0.176	4.300e-01	1.196	0.446	0.388	2.597e-01
ZNF182	0.258	3.984e-01	0.880	0.450	0.389	2.618e-01
NCAPH2	0.868	1.926e-01	-0.734	0.470	0.390	2.652e-01
RARA	-0.608	7.284e-01	-0.198	0.543	0.392	2.687e-01
HIF1A	-0.070	5.279e-01	0.692	0.466	0.393	2.694e-01
ZNF534	0.398	3.452e-01	0.222	0.457	0.394	2.715e-01
PARP1	0.029	4.885e-01	1.499	0.439	0.394	2.722e-01
FAIRE	-0.781	7.827e-01	-0.361	0.569	0.396	2.757e-01
NR2F6	0.181	4.282e-01	0.823	0.452	0.397	2.778e-01
BAHD1	-0.200	5.791e-01	1.525	0.446	0.398	2.792e-01
ZNF468	0.488	3.129e-01	-0.224	0.462	0.399	2.828e-01
ATF4	-0.430	6.664e-01	0.745	0.481	0.400	2.842e-01
NFATC1	-0.353	6.381e-01	-1.313	0.576	0.400	2.849e-01
ZNF100	0.198	4.214e-01	-0.582	0.488	0.401	2.856e-01
ZNF248	-0.025	5.098e-01	1.503	0.437	0.402	2.878e-01
RUNX2	-0.043	5.170e-01	0.797	0.458	0.402	2.878e-01
ZNF141	0.194	4.232e-01	0.871	0.447	0.402	2.878e-01
ZNF280A	-0.006	5.023e-01	1.455	0.438	0.403	2.892e-01
ZNF425	0.227	4.103e-01	0.677	0.449	0.403	2.899e-01
INTS12	0.524	3.000e-01	-0.382	0.464	0.403	2.899e-01
PCGF1	0.704	2.409e-01	-0.905	0.472	0.404	2.913e-01
TFAP4	0.075	4.702e-01	0.038	0.472	0.404	2.928e-01
AFF1	0.147	4.414e-01	-0.344	0.480	0.405	2.935e-01
MAX	0.168	4.333e-01	-1.457	0.528	0.405	2.942e-01
NFE2	-0.135	5.537e-01	-0.028	0.482	0.407	2.971e-01
HOXA2	0.434	3.320e-01	-0.226	0.459	0.407	2.978e-01
FOXP2	0.381	3.514e-01	-0.286	0.462	0.409	3.022e-01
NOTCH3	-0.095	5.380e-01	1.561	0.433	0.410	3.037e-01
SFPQ	-0.088	5.351e-01	1.503	0.433	0.412	3.088e-01
H3F3B	-0.002	5.010e-01	1.208	0.438	0.414	3.132e-01
UBE2I	0.209	4.173e-01	0.393	0.448	0.418	3.206e-01
XCL1	0.344	3.652e-01	-0.109	0.454	0.418	3.206e-01
ZNF169	0.033	4.867e-01	1.042	0.439	0.418	3.214e-01
KLF15	-0.119	5.474e-01	-1.182	0.517	0.419	3.221e-01
MECOM	0.174	4.311e-01	0.538	0.446	0.420	3.236e-01
SCRT2	0.174	4.311e-01	0.661	0.443	0.420	3.251e-01
KLF5	-0.674	7.497e-01	-0.599	0.542	0.423	3.311e-01
ZNF770	0.142	4.436e-01	0.633	0.444	0.423	3.311e-01
ING2	0.317	3.757e-01	-0.148	0.453	0.423	3.318e-01
CDK12	0.348	3.641e-01	-0.248	0.454	0.425	3.356e-01
HCFC1R1	0.090	4.642e-01	0.801	0.442	0.425	3.356e-01
LEO1	0.226	4.107e-01	0.186	0.449	0.426	3.364e-01
KDM5B	-0.092	5.366e-01	-1.284	0.511	0.426	3.371e-01
DNMT1	-0.511	6.953e-01	-0.496	0.514	0.427	3.401e-01
SP1	-0.452	6.744e-01	-1.418	0.557	0.429	3.439e-01
ZNF28	0.143	4.432e-01	0.403	0.444	0.430	3.454e-01
NR0B1	0.426	3.351e-01	-0.592	0.458	0.430	3.462e-01
